Date,Last
2022-08-02,408.13
2022-08-03,414.41
2022-08-04,414.2
2022-08-05,413.44
2022-08-08,413.01
2022-08-09,411.35
2022-08-10,419.95
2022-08-11,420.0
2022-08-12,427.06
2022-08-15,428.86
2022-08-16,429.69
2022-08-17,426.67
2022-08-18,427.84
2022-08-19,422.14
2022-08-22,413.41
2022-08-23,412.33
2022-08-24,413.63
2022-08-25,419.5
2022-08-26,405.31
2022-08-29,402.65
2022-08-30,398.17
2022-08-31,395.13
2022-09-01,396.39
2022-09-02,392.27
2022-09-05,392.24
2022-09-06,390.79
2022-09-07,397.79
2022-09-08,400.39
2022-09-09,406.57
2022-09-12,410.94
2022-09-13,393.12
2022-09-14,394.61
2022-09-15,390.15
2022-09-16,385.65
2022-09-19,388.54
2022-09-20,384.16
2022-09-21,377.4
2022-09-22,374.22
2022-09-23,367.93
2022-09-26,364.32
2022-09-27,363.39
2022-09-28,370.49
2022-09-29,362.84
2022-09-30,357.27
2022-10-03,366.62
2022-10-04,377.8
2022-10-05,377.12
2022-10-06,373.21
2022-10-07,362.91
2022-10-10,360.07
2022-10-11,357.76
2022-10-12,356.58
2022-10-13,365.96
2022-10-14,357.66
2022-10-17,366.79
2022-10-18,371.15
2022-10-19,368.51
2022-10-20,365.52
2022-10-21,374.3
2022-10-24,378.8
2022-10-25,384.81
2022-10-26,382.12
2022-10-27,380.17
2022-10-28,388.97
2022-10-31,386.15
2022-11-01,384.59
2022-11-02,374.86
2022-11-03,371.09
2022-11-04,376.36
2022-11-07,380.01
2022-11-08,382.0
2022-11-09,374.09
2022-11-10,394.62
2022-11-11,398.61
2022-11-14,395.16
2022-11-15,398.52
2022-11-16,395.49
2022-11-17,394.25
2022-11-18,396.14
2022-11-21,394.59
2022-11-22,399.9
2022-11-23,402.42
2022-11-24,402.42
2022-11-25,402.33
2022-11-28,395.93
2022-11-29,395.31
2022-11-30,407.54
2022-12-01,407.4
2022-12-02,406.87
2022-12-05,399.58
2022-12-06,393.87
2022-12-07,393.11
2022-12-08,396.26
2022-12-09,393.29
2022-12-12,398.92
2022-12-13,401.95
2022-12-14,399.41
2022-12-15,389.71
2022-12-19,380.02
2022-12-20,380.49
2022-12-21,386.21
2022-12-22,380.72
2022-12-23,382.88
2022-12-26,382.91
2022-12-27,381.38
2022-12-28,376.71
2022-12-29,383.33
2022-12-30,382.44
2023-01-03,380.82
2023-01-04,383.71
2023-01-05,379.38
2023-01-06,388.04
2023-01-09,387.88
2023-01-10,390.62
2023-01-11,395.49
2023-01-12,396.93
2023-01-13,398.47
2023-01-17,397.77
2023-01-18,391.53
2023-01-19,388.61
