date,open,high,low,close,volume
08/07/1993,14.0498,14.0498,13.6598,13.8548,827300
09/07/1993,13.9164,13.9164,13.3417,13.4699,804800
12/07/1993,13.4699,13.5366,13.3417,13.4032,443000
13/07/1993,13.2801,13.4032,13.1467,13.4032,588500
14/07/1993,13.4032,13.6598,13.3417,13.6598,350700
15/07/1993,13.5982,13.5982,13.4699,13.5366,261100
16/07/1993,13.5366,13.6598,13.3417,13.4032,400400
19/07/1993,13.4699,13.4699,13.0851,13.1467,314200
20/07/1993,13.0851,13.2801,12.8901,13.2801,467300
21/07/1993,13.2134,13.4699,13.0851,13.4032,305200
22/07/1993,13.2801,13.4032,13.0235,13.0851,509900
23/07/1993,13.0235,13.1467,12.8901,13.1467,255300
26/07/1993,13.0851,13.1467,13.0235,13.0851,417200
27/07/1993,13.0411,13.1086,12.7192,12.849,781500
28/07/1993,12.849,13.3682,12.7815,13.1086,501700
29/07/1993,13.1761,13.4357,13.1086,13.2384,300600
30/07/1993,13.2384,13.2384,12.849,12.9165,501000
02/08/1993,12.9788,13.2384,12.9788,13.1086,1144600
03/08/1993,13.0411,13.1761,12.9165,12.9165,378400
04/08/1993,12.9165,13.1086,12.9165,13.0411,281600
05/08/1993,13.0411,13.1086,12.9788,13.0411,216000
06/08/1993,13.0411,13.1761,12.849,13.1086,618400
09/08/1993,13.2384,13.3682,13.1761,13.3682,291300
10/08/1993,13.2384,13.3682,13.2384,13.3007,341900
11/08/1993,12.9788,12.9788,12.3974,12.849,1696800
12/08/1993,12.849,12.849,12.4597,12.7192,720700
13/08/1993,12.6569,12.7192,12.522,12.6569,463900
16/08/1993,12.7192,12.9165,12.5895,12.7192,849600
17/08/1993,12.7815,12.9165,12.7192,12.9165,515800
18/08/1993,12.9165,12.9788,12.849,12.9788,854300
19/08/1993,12.9788,13.2384,12.849,13.2384,939000
20/08/1993,13.3682,13.3682,13.0411,13.0411,896100
23/08/1993,12.9165,13.1086,12.849,13.0411,638400
24/08/1993,12.9788,13.1086,12.9788,13.1086,479700
25/08/1993,13.1086,13.1761,12.9788,13.1086,384500
26/08/1993,13.0411,13.0411,12.9165,12.9788,538700
27/08/1993,12.849,13.0411,12.849,13.0411,835000
30/08/1993,12.9788,13.1761,12.9788,13.1086,464200
31/08/1993,13.1086,13.4357,13.1086,13.3682,335600
01/09/1993,13.4357,13.5603,13.3007,13.5603,719100
02/09/1993,13.5603,13.6278,13.3682,13.498,1122100
03/09/1993,13.4357,13.4357,13.2384,13.3682,289800
07/09/1993,13.3682,13.3682,13.1086,13.2384,501900
08/09/1993,13.2384,13.2384,12.9788,13.1761,381400
09/09/1993,13.1086,13.3682,12.9788,13.3682,443600
10/09/1993,13.2384,13.3007,13.1761,13.2384,185400
13/09/1993,13.2384,13.2384,13.0411,13.1761,386300
14/09/1993,13.1086,13.2384,13.0411,13.2384,349300
15/09/1993,13.1761,13.2384,13.0411,13.1761,490200
16/09/1993,13.1086,13.1086,12.9165,13.0411,687000
17/09/1993,12.7815,12.9788,12.7815,12.9165,657700
20/09/1993,12.849,12.849,12.7815,12.849,270300
21/09/1993,12.849,12.849,12.6569,12.7192,420100
22/09/1993,12.7192,12.9788,12.6569,12.9165,579000
23/09/1993,12.9165,13.0411,12.7192,13.0411,1082000
24/09/1993,13.0411,13.0411,12.9165,13.0411,323100
27/09/1993,13.0411,13.0411,12.849,12.9165,302400
28/09/1993,12.9165,12.9788,12.849,12.9788,167200
29/09/1993,12.9788,13.1761,12.9165,13.1761,454600
30/09/1993,13.1086,13.1086,12.9165,12.9788,399600
01/10/1993,12.9165,12.9788,12.849,12.9165,250500
04/10/1993,12.9165,13.0411,12.849,13.0411,347600
05/10/1993,12.9788,13.3007,12.9788,13.2384,874600
06/10/1993,13.1086,13.3682,13.1086,13.3682,569700
07/10/1993,13.4357,13.498,13.2384,13.3007,526000
08/10/1993,13.3007,13.3007,12.9788,13.2384,296500
11/10/1993,13.3007,13.3682,13.2384,13.3682,198500
12/10/1993,13.4357,13.4357,13.3007,13.4357,446300
13/10/1993,13.4357,13.8873,13.3682,13.5603,873100
14/10/1993,13.498,13.5603,12.522,12.5895,1716700
15/10/1993,12.7192,12.7192,12.1378,12.2624,1419300
18/10/1993,12.2001,12.3299,12.0703,12.1378,1323800
19/10/1993,12.2624,12.4597,12.1378,12.3974,631500
20/10/1993,12.3974,12.6569,12.3974,12.6569,1127200
21/10/1993,12.522,12.6569,12.2624,12.4597,320500
22/10/1993,12.3974,12.4597,12.2624,12.3299,379000
25/10/1993,12.3299,12.3299,11.9405,12.0703,424200
26/10/1993,12.2209,12.2209,12.0264,12.2209,664600
27/10/1993,12.2892,12.3523,12.1525,12.2892,311800
28/10/1993,12.2892,12.4837,12.2209,12.2209,422300
29/10/1993,12.2209,12.2209,11.8266,11.8897,958800
01/11/1993,11.8897,12.0895,11.8266,11.958,743000
02/11/1993,12.0264,12.0264,11.6952,11.958,518300
03/11/1993,11.958,12.0264,11.7636,11.8897,325700
04/11/1993,11.958,11.958,11.301,11.5008,738200
05/11/1993,11.301,11.4324,11.0382,11.0382,1382100
08/11/1993,11.1013,11.1013,10.9068,11.0382,529400
09/11/1993,11.1013,11.2379,10.8385,10.9068,1055800
10/11/1993,10.8385,11.1013,10.7754,10.9751,561500
11/11/1993,10.9751,11.1696,10.9751,11.1013,815000
12/11/1993,11.1013,11.6269,11.1013,11.6269,627000
15/11/1993,11.6269,11.8897,11.6269,11.8266,472400
16/11/1993,11.8266,11.958,11.6269,11.7636,509900
17/11/1993,11.7636,12.0264,11.7636,11.8897,296800
18/11/1993,11.6952,11.8897,11.6269,11.8897,306900
19/11/1993,11.8897,11.958,11.6952,11.8266,532500
22/11/1993,11.8266,11.8897,11.6269,11.8266,368500
23/11/1993,11.8266,11.958,11.6952,11.7636,369600
24/11/1993,11.8897,12.0264,11.7636,11.958,280500
26/11/1993,12.0264,12.0895,11.8897,11.958,103700
29/11/1993,12.0895,12.1525,11.958,11.958,325500
30/11/1993,12.0895,12.2892,12.0895,12.1525,369700
